substrate,met_id,o2_bound,o2_percent,o2_flux,growth_rate,biomass_c,co2_flux,organic_c_flux,c_ex_fluxes,cue,bge,gge
Glycerol-3-phosphate,cpd00080,40.0,170.67181125621465,-23.437,1.001,43.004,16.962,0.039,"{'EX_cpd15380_e0': 0.021, 'EX_cpd01042_e0': 0.015, 'EX_cpd00204_e0': 0.002}",0.717,0.717,0.717
Glycerol-3-phosphate,cpd00080,30.0,128.00385844216098,-23.437,1.001,43.004,16.962,0.039,"{'EX_cpd15380_e0': 0.021, 'EX_cpd01042_e0': 0.015, 'EX_cpd00204_e0': 0.002}",0.717,0.717,0.717
Glycerol-3-phosphate,cpd00080,20.0,85.33590562810733,-20.0,0.926,39.755,13.259,6.991,"{'EX_cpd00029_e0': 6.955, 'EX_cpd15380_e0': 0.02, 'EX_cpd01042_e0': 0.014, 'EX_cpd00204_e0': 0.002}",0.779,0.75,0.663
Glycerol-3-phosphate,cpd00080,10.0,42.66795281405366,-10.0,0.698,29.996,13.101,16.907,"{'EX_cpd00029_e0': 16.88, 'EX_cpd15380_e0': 0.015, 'EX_cpd01042_e0': 0.01, 'EX_cpd00204_e0': 0.001}",0.782,0.696,0.5
Glycerol-3-phosphate,cpd00080,1.0,4.266795281405366,-1.0,0.492,21.151,15.135,23.717,"{'EX_cpd00029_e0': 23.698, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.748,0.583,0.353
DHPS (dihydroxypropanesulfonate),cpd23538,3.0803741965282576,10.0,-3.08,0.224,9.631,17.785,32.585,"{'EX_cpd00029_e0': 32.577, 'EX_cpd15380_e0': 0.005, 'EX_cpd01042_e0': 0.003, 'EX_cpd00204_e0': 0.0}",0.704,0.351,0.161
DHPS (dihydroxypropanesulfonate),cpd23538,6.160748393056515,20.0,-6.161,0.295,12.666,17.087,30.249,"{'EX_cpd00029_e0': 30.238, 'EX_cpd15380_e0': 0.006, 'EX_cpd01042_e0': 0.004, 'EX_cpd00204_e0': 0.001}",0.715,0.426,0.211
DHPS (dihydroxypropanesulfonate),cpd23538,9.241122589584773,30.0,-9.241,0.366,15.7,16.389,27.913,"{'EX_cpd00029_e0': 27.899, 'EX_cpd15380_e0': 0.008, 'EX_cpd01042_e0': 0.005, 'EX_cpd00204_e0': 0.001}",0.727,0.489,0.262
DHPS (dihydroxypropanesulfonate),cpd23538,12.32149678611303,40.0,-12.321,0.436,18.734,15.691,25.577,"{'EX_cpd00029_e0': 25.56, 'EX_cpd15380_e0': 0.009, 'EX_cpd01042_e0': 0.007, 'EX_cpd00204_e0': 0.001}",0.738,0.544,0.312
DHPS (dihydroxypropanesulfonate),cpd23538,15.401870982641288,50.0,-15.402,0.505,21.71,15.007,23.286,"{'EX_cpd00029_e0': 23.267, 'EX_cpd15380_e0': 0.011, 'EX_cpd01042_e0': 0.008, 'EX_cpd00204_e0': 0.001}",0.75,0.591,0.362
DHPS (dihydroxypropanesulfonate),cpd23538,18.482245179169546,60.0,-18.482,0.573,24.629,14.335,21.038,"{'EX_cpd00029_e0': 21.016, 'EX_cpd15380_e0': 0.012, 'EX_cpd01042_e0': 0.009, 'EX_cpd00204_e0': 0.001}",0.761,0.632,0.41
DHPS (dihydroxypropanesulfonate),cpd23538,21.562619375697803,70.0,-21.563,0.641,27.549,13.734,18.721,"{'EX_cpd00029_e0': 18.696, 'EX_cpd15380_e0': 0.014, 'EX_cpd01042_e0': 0.01, 'EX_cpd00204_e0': 0.001}",0.771,0.667,0.459
