id	name	reason	replaced_by	pr	date	notes
rxn05517_c0	cadminum transport out via antiport [c0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
rxn05539_c0	oligopeptide-transporting ATPase [c0]	out_of_scope		#262	2025-09-23	fix: remove dipeptide uptake reactions and extracellular metabolites
rxn05619_c0	ATP phosphohydrolase (molybdate-importing) [c0]	erroneous_annotation		#278	2025-10-01	fix: remove broken molybdenum pathway
rxn05669_c0	L-Valine:proton symport	out_of_scope		#281	2025-10-06	feat: standardize amino acid transport reactions
rxn06077_c0	L-methionine:oxidized-thioredoxin S-oxidoreductase [c0]	out_of_scope		#182	2025-04-02	fix: removed reactions representing cleaning up/recovering from oxidative damage from free radicals and hydrogen peroxide
rxn06335_c0	(S)-2-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(2-methylbutanoyl)transferase [c0]	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
rxn08353_c0	5-demethylubiquinone-8 methyltransferase [c0]	duplicate	rxn11946_c0	#208	2025-04-14	"fix: removed rxn08353_c0 and cpd15360_c0 for effectively being duplicates of rxn11946_c0 and cpd03449_c0, respectively"
rxn06586_c0	3-methylbutanoyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-(3-methylbutanoyl)transferase [c0]	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
rxn08527_c0	fumarate reductase [c0]	duplicate	rxn00288_c0; rxn10126_c0	#212	2025-04-21	fix: remove duplicate succinate dehydrogenase reactions
rxn07433_c0	R07602 [c0]	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
rxn07435_c0	R07604 [c0]	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
rxn07436_c0	7-aminomethyl-7-carbaguanine:NADP+ oxidoreductase [c0]	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
rxn07438_c0	peptide-methionine:thioredoxin-disulfide S-oxidoreductase [c0]	out_of_scope		#182	2025-04-02	fix: removed reactions representing cleaning up/recovering from oxidative damage from free radicals and hydrogen peroxide
rxn07439_c0	L-methionine:thioredoxin-disulfide S-oxidoreductase [L-methionine (R)-S-oxide-forming] [c0]	out_of_scope		#182	2025-04-02	fix: removed reactions representing cleaning up/recovering from oxidative damage from free radicals and hydrogen peroxide
rxn08528_c0	fumarate reductase [c0]	duplicate	rxn00288_c0; rxn10126_c0	#212	2025-04-21	fix: remove duplicate succinate dehydrogenase reactions
rxn07981_c0	3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0) [c0]	unknown		#190	2025-04-03	fix: remove rxn07981_c0 and cpd11836_c0
rxn08098_c0	D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm) [c0]	out_of_scope		#262	2025-09-23	fix: remove dipeptide uptake reactions and extracellular metabolites
rxn08131_c0	4-amino-2-methyl-5-phosphomethylpyrimidine synthetase [c0]	erroneous_annotation		#192	2025-04-04	fix: remove questionably real rxn08131_c0
rxn08192_c0	ABC-5-RXN.cp [c0]	dead_end		#146	2025-03-26	fix: remove dead-end cobalamin metabolism reactions and remove cobalamin metabolites from biomass reaction
rxn08275_c0	copper transport out via proton antiport [c0]	no_genomic_evidence		#303	2025-10-23	fix: GPRs of copper transport reactions and remove unsupported/unnecessary heavy metal transport reactions
rxn20583_c0	phosphoglucose mutase [c0]	duplicate	rxn00704_c0	#213	2025-05-29	fix: removed rxn02583_c0 for being a duplicate of rxn00704_c0
rxn08502_e0	enterobactin Fe(III) binding (spontaneous) [e0]	mass_imbalance		#280	2025-10-02	fix: correct most of the mass- or charge-imbalanced reactions
rxn08808_c0	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:0) (periplasm) [c0]"	duplicate	rxn08843_c0; rxn08851_c0	#279	2025-10-02	"fix: remove duplicate metabolite and reactions cpd15349_c0, rxn08808_c0, and rxn08809_c0"
rxn08809_c0	"Lysophospholipase L1 (2-acylglycerophosphoethanolamine, n-C18:1) (periplasm) [c0]"	duplicate	rxn08851_c0	#279	2025-10-02	"fix: remove duplicate metabolite and reactions cpd15349_c0, rxn08808_c0, and rxn08809_c0"
rxn08703_c0	S-methylmethionine homocysteine transmethylase [c0]	unknown		#315	2025-11-11	fix: remove rxn08703 per #316
